Wilson's Classification,Event ID,Count
Information,view-doc,
Information,doc-view-modal-close-clicked,
Information,serp-to-myfolder,
Information,get-doc,
Information,my-folder-to-serp,
Input,saved-search-title-clicked,
Input,search-query-issued,
Input,serp-paging,
Input,myfolder-query-issued,
Input,load-more-saved-records-clicked,
Input,load-more-saved-search-clicked,
Input,search-history-title-clicked,
Input,load-more-search-history-clicked,
Personalization,saved-records-tab-clicked,
Personalization,search-history-tab-cicked,
Personalization,saved-searches-tab-clicked,
Personalization,saved-document,
Personalization,removed-saved-document,
Personalization,batch-save-doc-with-label,
Personalization,save-search-from-serp,
Personalization,removed-saved-document,
Personalization,remove-doc-label,
Personalization,add-doc-label-existing,
Personalization,add-doc-label-new,
Personalization,batch-add-label-from-saved-records,
Personalization,batch-remove-label-from-saved-records,
Personalization,batch-remove-saved-document,
Personalization,removed-saved-searches,
Personalization,batch-remove-saved-search,
Personalization,removed-search-history,
Personalization,save-search-history-from-history,
Personalization,batch-remove-search-history,
Personalization,batch-save-search-history,
Personalization-Information,view-doc-workspace,
Personalization-information,get-doc-workspace,
Personalization-information,doc-view-modal-close-clicked-workspace,
Personalization-control,label-filter-clicked,
Personalization-control,label-filter-cleared,
