Wilson's Classification,Event ID,Count
Input,task-created,
Information,task-clicked,
Personalization,task-renamed,
Personalization,task-deleted,
Information,task-query-count-clicked,
Information,task-doc-count-clicked,
Information,task-session-count-clicked,
Input,task-detail-query-issued,
Information,session-card-clicked,
Information,session-query-count-clicked,
Information,session-doc-count-clicked,
Information,session-timestamp-clicked,
Input,session-card-query-clicked,
Information,task-detail-to-workspace-button-clicked,
Information,task-detail-to-dashboard-button-clicked,
Input,serp-form-query-issued,
Information,serp-to-back-button-clicked,
Personalization,saved-document,
Personalization,removed-saved-document,
Information,view-doc,
Information,"doc-view-modal-close-clicked,",
Information,doc-view-modal-close-top-clicked,
Information,get-doc,
Control,facet-selected,
Control,facet-unselected,
Control,facet-category-changed,
Control,task-detail-to-workspace-button-clicked,
Information,workspace-to-back-button-clicked,
Personalization,removed-saved-doc,
Information,view-doc,
Information,doc-view-modal-close-clicked,
Information,doc-view-modal-close-top-clicked,
Information,get-doc,
Control,facet-selected,
Control,facet-unselected,
Control,facet-category-changed,
Input,page-changed-2,
Input,page-changed-3,
Input,page-changed-4,
Input,page-changed-5,
Input,page-changed-6,
Input,page-changed-7,
Input,page-changed-8,
Input,page-changed-9,
Input,page-changed-10,
