Wilson's Classification,Event ID,Count
Control,facet-selected,
Control,facet-unselected,
Control,facet-category-changed,
Control,task-detail-to-workspace-button-clicked,
Control,facet-selected,
Control,facet-unselected,
Control,facet-category-changed,
Information,dashboard-opened,
Information,task-clicked,
Information,task-query-count-clicked,
Information,task-doc-count-clicked,
Information,task-session-count-clicked,
Information,task-detail-opened,
Information,session-card-clicked,
Information,session-query-count-clicked,
Information,session-doc-count-clicked,
Information,session-timestamp-clicked,
Information,task-detail-to-workspace-button-clicked,
Information,task-detail-to-dashboard-button-clicked,
Information,serp-opened,
Information,serp-to-back-button-clicked,
Information,doc-focused,
Information,view-doc,
Information,"doc-view-modal-close-clicked,",
Information,doc-view-modal-close-top-clicked,
Information,get-doc,
Information,workspace-opened,
Information,workspace-to-back-button-clicked,
Information,doc-focused,
Information,view-doc,
Information,doc-view-modal-close-clicked,
Information,doc-view-modal-close-top-clicked,
Information,get-doc,
Input,task-created,
Input,task-detail-query-issued,
Input,session-card-query-clicked,
Input,serp-form-query-issued,
Input,page-changed-n,
Input,page-changed-2,
Input,page-changed-3,
Input,page-changed-4,
Input,page-changed-5,
Input,page-changed-6,
Input,page-changed-7,
Input,page-changed-8,
Input,page-changed-9,
Input,page-changed-10,
Personalization,task-renamed,
Personalization,task-deleted,
Personalization,saved-document,
Personalization,removed-saved-document,
Personalization,removed-saved-doc,
Personalization-control,facet-selected-workspace,
Personalization-control,facet-unselected-workspace,
Personalization-control,facet-category-changed-workspace,
Personalization-information,view-doc-workspace,
Personalization-information,get-doc-workspace,
Personalization-information,doc-view-modal-close-clicked-workspace,
Personalization-information,doc-view-modal-close-top-clicked-workspace,
