Wilson's Classification,Event ID,Count
Input,task-created,0.0
Information,task-clicked,12.0
Personalization,task-renamed,0.0
Personalization,task-deleted,0.0
Information,task-query-count-clicked,3.0
Information,task-doc-count-clicked,1.0
Information,task-session-count-clicked,0.0
Input,task-detail-query-issued,4.0
Information,session-card-clicked,16.0
Information,session-query-count-clicked,1.0
Information,session-doc-count-clicked,4.0
Information,session-timestamp-clicked,0.0
Input,session-card-query-clicked,16.0
Information,task-detail-to-workspace-button-clicked,18.0
Information,task-detail-to-dashboard-button-clicked,12.0
Input,serp-form-query-issued,30.0
Information,serp-to-back-button-clicked,18.0
Personalization,saved-document,69.0
Personalization,removed-saved-document,4.0
Information,view-doc,147.0
Information,"doc-view-modal-close-clicked,",0.0
Information,doc-view-modal-close-top-clicked,66.0
Information,get-doc,54.0
Control,facet-selected,59.0
Control,facet-unselected,1.0
Control,facet-category-changed,0.0
Information,workspace-to-back-button-clicked,22.0
Personalization,removed-saved-doc,21.0
Information,doc-view-modal-close-clicked,45.0
Input,page-changed-2,14.0
Input,page-changed-3,2.0
Input,page-changed-4,1.0
Input,page-changed-5,1.0
Input,page-changed-6,0.0
Input,page-changed-7,0.0
Input,page-changed-8,0.0
Input,page-changed-9,0.0
Input,page-changed-10,0.0
