userID,Control,Personalization,Information,Input,Personalization-control,Personalization-information
6105824bfb24c5db2f108a33,2,2,10,3,0,0
61080e8bfb24c5db2f10954f,2,13,37,8,0,4
610c0205fb24c5db2f10a141,6,9,29,3,0,0
610c81cffb24c5db2f10a461,22,17,10,6,3,0
610da803fb24c5db2f10b4f0,16,4,20,1,0,0
610efac0fb24c5db2f10cf7e,11,12,42,2,0,0
610f32a6fb24c5db2f10dd8b,14,19,45,4,0,0
614c03550f2f100663b50132,7,8,9,6,0,0
614dde9a0f2f100663b5049d,7,14,69,7,0,28
614e2d590f2f100663b5271e,7,11,35,3,0,0
6155e80a53c939867a1df459,4,7,39,2,0,0
61560cfd53c939867a1dfa8f,12,9,26,3,0,0
61563c1b53c939867a1e03c2,3,7,28,2,0,3
615e605553c939867a1e4ba2,22,4,15,1,0,0
6160ef6653c939867a1e8596,11,5,9,10,0,0
