userID,Information,Personalization,Control,Input,Personalization-control,Personalization-information
6187fbf81e307ec1baf5c8ad,50,34,4,20,1,0
618843e71e307ec1baf5d1f0,10,16,1,6,0,31
618879e31e307ec1baf5d678,0,21,0,1,3,11
6189402b1e307ec1baf5e204,0,3,0,0,0,11
618c70bd1e307ec1baf5ef15,4,14,0,2,0,36
618d6d7f1e307ec1baf5ff33,8,8,0,3,0,25
61912aa91e307ec1baf61b81,14,6,4,2,0,10
6199d5b01e307ec1baf68fb0,13,6,4,3,1,0
619b35fa1e307ec1baf6a80f,4,10,3,3,0,0
619da4f21e307ec1baf6ae29,44,9,5,9,0,0
619ec9ce1e307ec1baf6b658,22,23,1,5,2,28
619ff6091e307ec1baf6c1db,10,6,0,2,0,12
61a1419f1e307ec1baf6cab8,0,11,1,2,2,8
61a25d0a1e307ec1baf6d8d8,20,10,4,16,0,18
61a2959c1e307ec1baf75988,0,1,4,3,1,21
